obs,D88,D89,FCODE,GRANT,GRANT_1,UNION,YEAR,LSCRAP,LSCRAP_1
89,1,0,418125,1,0,0,1988,-0.4942963218147801,-.7985076962177716
90,0,1,418125,0,1,0,1989,-0.5108256237659907,-.4942963218147801
91,0,0,418140,0,0,0,1987,2.0794415416798357,NaN
92,1,0,418140,1,0,0,1988,1.3862943611198906,2.079441541679836
93,0,1,418140,0,1,0,1989,0.9162907318741551,1.386294361119891
94,0,0,418163,0,0,1,1987,2.1972245773362196,NaN
95,1,0,418163,1,0,1,1988,1.9459101490553132,2.19722457733622
96,0,1,418163,0,1,1,1989,1.8718021769015913,1.945910149055313
97,0,0,418168,0,0,0,1987,-4.605170185988091,NaN
98,1,0,418168,0,0,0,1988,-2.2072749131897207,-4.605170185988091
99,0,1,418168,0,0,0,1989,-1.6094379124341003,-2.207274913189721
100,0,0,418177,0,0,1,1987,2.8903717578961645,NaN
101,1,0,418177,1,0,1,1988,2.9444389791664403,2.890371757896165
102,0,1,418177,0,1,1,1989,2.8903717578961645,2.94443897916644
103,0,0,418237,0,0,1,1987,-1.2729656758128873,NaN
104,1,0,418237,1,0,1,1988,-1.6094379124341003,-1.272965675812887
105,0,1,418237,0,1,1,1989,-1.6607312068216509,-1.6094379124341
106,0,0,419198,0,0,0,1987,1.9459101490553132,NaN
107,1,0,419198,1,0,0,1988,1.6094379124341003,1.945910149055313
108,0,1,419198,0,1,0,1989,1.3862943611198906,1.6094379124341
109,0,0,419201,0,0,0,1987,0.6931471805599453,NaN
110,1,0,419201,0,0,0,1988,0.6931471805599453,.6931471805599453
111,0,1,419201,0,0,0,1989,0.6931471805599453,.6931471805599453
112,0,0,419242,0,0,1,1987,1.3787660946990992,NaN
113,1,0,419242,1,0,1,1988,1.3428648031925547,1.378766094699099
114,0,1,419242,0,1,1,1989,1.7404661748405046,1.342864803192555
115,0,0,419268,0,0,0,1987,0.3293037471426003,NaN
116,1,0,419268,0,0,0,1988,0.14842000511827322,.3293037471426003
117,0,1,419268,1,0,0,1989,-0.10536051565782628,.1484200051182732
118,0,0,419272,0,0,0,1987,3.0204248861443626,NaN
119,1,0,419272,0,0,0,1988,3.1780538303479458,3.020424886144363
120,0,1,419272,1,0,0,1989,2.833213344056216,3.178053830347946
121,0,0,419289,0,0,0,1987,0.4054651081081644,NaN
122,1,0,419289,0,0,0,1988,0.34358970439007686,.4054651081081644
123,0,1,419289,1,0,0,1989,-0.05129329438755058,.3435897043900769
124,0,0,419297,0,0,1,1987,-1.6094379124341003,NaN
125,1,0,419297,0,0,1,1988,-1.171182981502945,-1.6094379124341
126,0,1,419297,0,0,1,1989,-1.3093333199837622,-1.171182981502945
127,0,0,419307,0,0,0,1987,0.0,NaN
128,1,0,419307,0,0,0,1988,-0.16251892949777494,0
129,0,1,419307,1,0,0,1989,-0.11653381625595151,-.1625189294977749
130,0,0,419339,0,0,1,1987,-0.6931471805599453,NaN
131,1,0,419339,0,0,1,1988,-0.527632742082372,-.6931471805599453
132,0,1,419339,0,0,1,1989,-0.7985076962177716,-.527632742082372
133,0,0,419343,0,0,1,1987,1.6094379124341003,NaN
134,1,0,419343,0,0,1,1988,1.3862943611198906,1.6094379124341
135,0,1,419343,1,0,1,1989,1.0986122886681098,1.386294361119891
136,0,0,419357,0,0,0,1987,0.6931471805599453,NaN
137,1,0,419357,0,0,0,1988,0.0,.6931471805599453
138,0,1,419357,1,0,0,1989,-0.6931471805599453,0
139,0,0,419378,0,0,0,1987,0.9969486348916096,NaN
140,1,0,419378,0,0,0,1988,0.41871033485818504,.9969486348916096
141,0,1,419378,1,0,0,1989,0.29266961396282004,.418710334858185
142,0,0,419381,0,0,0,1987,-0.4307829160924542,NaN
143,1,0,419381,0,0,0,1988,-0.5978370007556204,-.4307829160924542
144,0,1,419381,1,0,0,1989,-0.9675840262617056,-.5978370007556204
145,0,0,419388,0,0,0,1987,2.3978952727983707,NaN
146,1,0,419388,0,0,0,1988,2.0794415416798357,2.397895272798371
147,0,1,419388,1,0,0,1989,1.791759469228055,2.079441541679836
148,0,0,419409,0,0,0,1987,0.8109302162163288,NaN
149,1,0,419409,0,0,0,1988,0.9162907318741551,.8109302162163288
150,0,1,419409,1,0,0,1989,0.6931471805599453,.9162907318741551
151,0,0,419432,0,0,0,1987,1.6094379124341003,NaN
152,1,0,419432,0,0,0,1988,1.5686159179138452,1.6094379124341
153,0,1,419432,0,0,0,1989,1.6486586255873816,1.568615917913845
154,0,0,419459,0,0,1,1987,0.5128236264286637,NaN
155,1,0,419459,0,0,1,1988,0.9162907318741551,.5128236264286638
156,0,1,419459,0,0,1,1989,0.11332868530700327,.9162907318741551
157,0,0,419482,0,0,0,1987,0.9932517730102834,NaN
158,1,0,419482,0,0,0,1988,0.9516578757114463,.9932517730102835
159,0,1,419482,0,0,0,1989,1.0296194171811581,.9516578757114463
160,0,0,419483,0,0,1,1987,2.995732273553991,NaN
161,1,0,419483,0,0,1,1988,3.2188758248682006,2.995732273553991
162,0,1,419483,0,0,1,1989,3.4011973816621555,3.218875824868201
